"","Title","PublicationDate","Authors","Subject","Keywords","DataType","Objectives","PeriodCovered","Affiliations","NameOfDataverse","DOI"
"1","Cooke Aquaculture Database","2016-08-23","Cooke Aquaculture Inc.","Agricultural Sciences; Earth and Environmental Sciences","breeding; salmon; freshwater; saltwater; spawning; fish identification","Observational data","The purpose of this data is to provide insight into the breeding of salmon."," to  ","","Department of Animal Biosciences","hdl:10864/12041"
"2","Mixed-strain housing for female C57BL/6, DBA/2, and BALB/c mice: Validating a split-plot design that promotes refinement and reduction","2015-04-10","Mason, Georgia; Walker, Michael","Earth and Environmental Sciences; Medicine, Health and Life Sciences","effect size calculations; housing method; inbred mice; mixed-strain housing; phenotypes; R simulations; split-plot design; variance analysis","Experimental data; Simulated data","Validating a novel housing method for inbred mice: mixed-strain housing.  To see if this housing method affected strain-typical mouse phenotypes, if variance in the data was affected, and how statistical power was increased through this split-plot design.","2013-05 to  2013-08","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Department of Animal Biosciences","hdl:10864/10939"
"3","Juvenile rough-and-tumble play predicts adult sexual behavior in American mink","2016-08-09","Ahloy Dallaire, Jamie; Mason, Georgia J.","Earth and Environmental Sciences","American mink; Individual differences; Juvenile period; Play; Rough and tumble play; Sexual behaviour; Sexual development","Aggregated observational animal behaviour data","The existence of play, a form of behaviour without obvious benefits to survival or reproduction, is a long-standing ethological mystery. Experiments in which socially deprived juvenile male mammals develop into sexually incompetent adults, along with widespread sexual dimorphism in rough-and-tumble play (R and T), suggest that R and T may prepare juvenile males for adult sexual behaviour. To test this hypothesis, we conducted a longitudinal study of American mink (Neovison vison) on two farms, w
ith two cohorts each. For males (n = 121), we predicted that individuals with the highest frequencies of rough-and-tumble play as juveniles (10-20 weeks old) would, as adults, show shorter latencies to bite females' necks and to begin copulating, and copulate for longer durations. On one farm, we conducted a pilot study of females (n = 10) as a preliminary test of the hypothesis that R and T also prepares females for adult sexual behaviour. Here, our predictions were the opposite of those for males, since abilities to limit the number or duration of copulations could allow females to exercise pre- or post-copulatory mate choice. In total, we observed 1669 male-female encounters, and 1004 separate copulations. As predicted, frequent juvenile R and T predicted long-lasting copulations in adult males, and also longer latencies to copulate in adult females. This was true specifically of rough-and-tumble play itself, independently of general activity levels and, among a subset of 32 males reared in environmentally enriched housing, also independently of solitary object play. To our knowledge, this is the first demonstration that juvenile rough-and-tumble play predicts adult sexual behaviour in any species. Further research is required to test whether our female results can be replicated, and, importantly, to determine whether play truly has a causal role in either of these correlational relationships.","2011-07 to  2014-03","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Department of Animal Biosciences","hdl:10864/ZDJVD"
"4","Replication Data for: Modelling Net Energy of Commercial Cat Diets","2018-11-05","Asaro, Natalie J; Seymour, David J; Mansilla, Wilfredo D; Cant, John P; Zijlstra, Ruurd T; Berendt, Kimberley; Brewer, Jason; Shoveller, Anna K","Agricultural Sciences","Net energy; Feline; Calorimetry","","Feed intake, body weight, and calorimetry raw data used to create net energy models to predict dietary net energy of commercial diets for cats."," to  ","University of Guelph; University of Guelph; University of Guelph; University of Guelph; University of Alberta; University of Alberta; The Iams Company; University of Guelph","Department of Animal Biosciences","doi:10.5683/SP2/N7BQLG"
"5","Investigating the effects of incremental conditioning and supplemental dietary tryptophan on the voluntary activity and behaviour of mid-distance training sled dogs","2020-04-13","Robinson, Eve; Templeman, James R.; Thornton, Emma; Croney, Candace C.; Niel, Lee; Shoveller, Anna Kate","Medicine, Health and Life Sciences","canine; behaviour; activity; nutrition; tryptophan","Raw experimental data","Activity count and behavioural observation raw data used to determine the effect of tryptophan supplementation and an incremental exercise regimen on the behaviour and activity of sled dogs.","2018-10-11 to  2018-12-31","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Comparative Pathobiology and Department of Animal Science. Purdue University.; Department of Population Medicine. Ontario Vetrinary College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Department of Animal Biosciences","doi:10.5683/SP2/WPFSMM"
"6","Pet food consumer habit survey","2020-12-10","Banton, Sydney; Baynham, Andrew; Pezzali, Julia; von Massow, Michael; Shoveller, Anna K.","Agricultural Sciences; Social Sciences","pet food; grain-free; canine; Europe; North America; consumer habits.","raw survey data","This survey was conducted via an online software, Qualtrics, to understand differences between countries in terms of pet food purchasing habits and decision making. This data includes respondents from Germany, the UK, the USA, Canada and France. This document contains the raw survey data from all respondents.","2020-06-01 to  ","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Food, Agricultural & Resource Economics. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Food, Agricultural & Resource Economics. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Department of Animal Biosciences","doi:10.5683/SP2/JZUOMW"
"7","Effect of raw and encapsulated policosanol on lipid profiles, blood biochemistry, activity, energy expenditure, and macronutrient metabolism of adult cats","2020-12-18","Shoveller, Anna-Kate","Agricultural Sciences; Medicine, Health and Life Sciences","research data; lipid profiles; blood biochemistry; calorimetry; activity","Experimental data","Research data on lipid profiles, serum biochemistry, voluntary activity, energy expenditure, and macronutrient metabolism of healthy adult cats.","2018 to  2019","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Department of Animal Biosciences","doi:10.5683/SP2/FGS3VO"
"8","Ingestion of Lactobacillus rhamnosus modulates chronic stress-induced feather pecking in chickens","2021-02-03","Mindus, Claire; van Staaveren, Nienke; Bharwani, Aadil; Fuchs, Dietmar; Gostner, Johanna M.; Kjaer, Joergen B.; Kunze, Wolfgang; Mian,  M. Firoz; Shoveller, Anna K.; Forsythe, Paul; Harlander-Matauschek, Alexandra","Medicine, Health and Life Sciences","behavioural problems; microbiome; microbiota; stress; probiotic; kynurenine","experimental","Feather pecking (FP) is a stress-induced neuropsychological disorder of birds. Intestinal dysbiosis and inflammation are common traits of these disorders. FP is, therefore, proposed to be a behavioral consequence of dysregulated communication between the gut and the brain. Probiotic supplementation represents a promising new therapeutic to mitigate widespread FP. We monitored FP, gut microbiota composition, immune markers and amino acids related to the production of neurochemicals with Lactobacillus rhamnosus supplement (Lacto) or a placebo in laying hens. Data demonstrate that, when stressed, the incidence of FP increased significantly, however, Lacto prevented this increase. Lacto showed strong immunological effects by increasing the regulatory T cell population of the spleen and the cecal tonsils, in addition to limiting cecal microbiota dysbiosis. Despite minimal changes of aromatic amino acid levels, data suggest that catecholaminergic circuits may be an interesting target for further studies. Overall, our findings provide the first data supporting the use of a single-strain probiotic to reduce stress-induced FP in chickens and has promise to improve the welfare of domestic birds.","2017-10 to  2017-12","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Michael G. DeGroote School of Medicine. McMaster University.; Institute of Biological Chemistry, Biocenter, Innsbruck Medical University, Center for Chemistry and Biomedicine, Innsbruck, Austria.; Institute of Medical Biochemistry, Biocenter, Innsbruck Medical University, Center for Chemistry and Biomedicine, Innsbruck, Austria.; Friedrich-Loeffler-Institut, Federal Research Institute for Animal Health, Institute of Animal Welfare and Animal Husbandry, Celle, Germany.; Brain-Body Institute. St. Joseph’s Healthcare. McMaster University.; Division of Respirology. Department of Medicine. McMaster University.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Division of Respirology. Department of Medicine. McMaster University.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Department of Animal Biosciences","doi:10.5683/SP2/58SMUR"
"9","Dataset for: The effects of partially replacing animal protein sources with full fat black soldier fly larvae meal (Hermetia illucens) in nursery diets on growth performance, gut morphology, and immune response of pigs","2021-03-17","Crosbie, Michelina; Zhu, Cuilan; Karrow, Niel A.; Huber, Lee-Anne","Agricultural Sciences","Black soldier fly larvae meal; growth performance; immune response; nursery pig; gut morphology","experimental","One hundred and forty-four newly weaned pigs (21 days of age) were used to determine the effect of partially replacing animal protein sources with black solider fly larvae meal (BSFLM) in nursery diets on growth performance, gut morphology, and immune response. After weaning, pigs were placed in 24 pens (6 pigs per pen) and pens were randomly assigned to one of four dietary treatments (study d 0; n = 6), which were fed over 3 phases (phases I, II, and III were fed for 7, 14, and 21 days, respectively). Two nursery diets were formulated with 25% (LowFF) and 50% (HighFF) of the animal protein sources replaced by full fat BSFLM. Conventional nursery diets including animal protein sources without (CON-) and with antibiotics (220 mg Aureomycin per kg of complete feed; CON+) served as controls. On day 8, two pigs per pen were sacrificed to collect organ weights and for intestinal histomorphological measurements. On days 9 and 23, two pigs per pen were vaccinated with the novel antigen ovalbumin (OVA). Blood samples were collected on days 9, 23, and 38 to assess concentrations of plasma haptoglobin and OVA-specific immunoglobulins G (IgG) and IgG1. On day 38, the same two pigs per pen underwent a dermal hypersensitivity test and skin-fold thickness was measured at 0, 6, 24, and 48 h post-intradermal injection with OVA.","2019-05 to  2019-09","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Department of Animal Biosciences","doi:10.5683/SP2/A1BXRU"
"10","Dataset for: Standardized ileal digestible amino acids and net energy contents in full fat and defatted black soldier fly larvae meals (Hermetia illucens) fed to growing pigs","2021-03-17","Crosbie, Michelina; Zhu, Cuilan; Shoveller, Anna K.; Huber, Lee-Anne","Agricultural Sciences","Black soldier fly larvae meal; standardized ileal digestible amino acids; apparent ileal digestible amino acids; nitrogen balance; net energy; growing pigs","experimental","Two experiments were conducted to determine standardized ileal digestibility (SID) of AA (Exp. 1) and net energy (Exp. 2) in two black soldier fly larvae meal (BSFLM) samples [full fat (FF; 42.5% CP, as-fed) and defatted (DF; 40.8% CP; as-fed)] for growing pigs. Two cornstarch-based diets were formulated with FF and DF BSFLM as the sole sources of AA. A nitrogen-free diet was also used and the corn starch:sucrose:oil ratio was kept constant among diets to calculate DE by difference method. In each Exp., pigs were fed 2.8 × estimated maintenance energy requirement. In Exp. 1, 8 ileal-cannulated barrows were used in a replicated 2 × 2 Latin square design (n = 8). In each period, pigs were adapted to diets for 5 days followed by 2 days of continuous ileal digesta collection for 8 hours. The SID of AA were calculated using basal endogenous losses for pigs fed a nitrogen-free diet. In Exp. 2, 8 barrows were used in a partially replicated Latin square design (n = 8). In each period, pigs were adapted to diets for 7 days, followed by 5 days of total urine collection and fecal grab sampling.","2018-10 to  2018-12","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Department of Animal Biosciences","doi:10.5683/SP2/3YJ5J8"
"11","Supplementary material: Effect of a milk by-product based calf starter feed on dairy calf nutrient consumption, rumen development, and performance when fed different milk levels","2021-09-01","Parsons, Sarah D.; Steele, Michael A.; Leslie, Ken E.; Renaud, David L.; Reedman, Cassandra N.; Winder, Charlotte B.; DeVries, Trevor","Agricultural Sciences","dairy calf; milk level; whey; growth; intake","clinical trial data (randomized controlled trial)","The objective of this study was to determine the effect of a milk by-product based feed treatment compared to a conventional grain-based ration on feed intakes, rumen development, and growth of heifer calves fed two different levels of milk. This data is from mixed linear models, with the data presented for treatments separated by factor (milk treatment and feed treatment) rather than the treatment interactions.","2019-10-07 to  2020-12-01","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Population Medicine. Ontario Veterinary College. University of Guelph; Department of Population Medicine. Ontario Veterinary College. University of Guelph.; Department of Population Medicine. Ontario Veterinary College. University of Guelph.; Department of Population Medicine. Ontario Veterinary College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Department of Animal Biosciences","doi:10.5683/SP3/RWCQXV"
"12","Supplemental data for: Protective and Anti-Inflammatory Effects of Protegrin-1 on Citrobacter rodentium Intestinal Infection in Mice","2021-09-08","Osakowicz, Celina; Fletcher, Lauren; Caswell, Jeff L.; Li,  Julang","Agricultural Sciences; Earth and Environmental Sciences","Protegrin-1; Citrobacter rodentium infection; disease activity index scoring; immune response; gene-expression analysis","Experimental","This data is to provide open data availability for interested readers, for the publication in the International Journal of Molecular Sciences (see Related Publication). The study investigated the protective effects of protegrin-1 (PG-1) on pathogen-induced colitis. This dataset includes both animal trial results and gene expression results included in the publication to support our results.","2016 to  2018","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences, Ontario Agricultural College, University of Guelph and Department of Pathobiology, Ontario Veterinary College, University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Department of Animal Biosciences","doi:10.5683/SP3/RV5PGZ"
