"","Title","PublicationDate","Authors","Affiliations","Keywords","Objectives","Citation","PeriodCovered","StudyLocation","Funder","FileList","DOI"
"1","Cooke Aquaculture Database","2016-08-24","Cooke Aquaculture Inc.","","Agricultural Sciences; Earth and Environmental Sciences; Salmon; Fish culture; Breeding; breeding; salmon; freshwater; saltwater; spawning; fish identification","The purpose of this data is to provide insight into the breeding of salmon.","","2002/2015","Canada","","CAD_Codebook_PreservationFiles.pdf; CAD_eggINFO_NP_20160812.csv; CAD_eggINFO_NP_20160812_preservation.csv; CAD_MYebvs_NP_20160812.csv; CAD_MYebvs_NP_20160812_preservation.csv; CAD_OriginalData_Codebook.txt","hdl:10864/12041"
"2","Mixed-strain housing for female C57BL/6, DBA/2, and BALB/c mice: Validating a split-plot design that promotes refinement and reduction","2015-11-02","Mason, Georgia; Walker, Michael","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Earth and Environmental Sciences; Medicine, Health and Life Sciences; effect size calculations; housing method; inbred mice; mixed-strain housing; phenotypes; R simulations; split-plot design; variance analysis","Validating a novel housing method for inbred mice: mixed-strain housing. To see if this housing method affected strain-typical mouse phenotypes, if variance in the data was affected, and how statistical power was increased through this split-plot design.","Walker, M., Fureix, C., Palme, R., Newman, J. A., Ahloy Dallaire, J., and Mason G. M. (2016). Mixed-strain housing for female C57BL/6, DBA/2, and BALB/c mice: Validating a split-plot design that promotes refinement and reduction. BMC Medical Research Methodology. 16(11). doi: 10.1186/s12874-016-0113-7.","2013-05/2013-08","Canada","NSERC","All_Collected_Data.csv; All_Collected_Data_coded.csv; Data_for_Calculating_and_Analyzing_Variation.csv; Data_for_Calculating_and_Analyzing_Variation_coded.csv; Data_for_Calculating_Effect_Sizes.csv; Data_for_Calculating_Effect_Sizes_coded.csv; MixedStrainHousing_Codebook.pdf; Powersim_final.txt; Powersim_final_1.RData","hdl:10864/10939"
"3","Juvenile rough-and-tumble play predicts adult sexual behavior in American mink","2016-08-18","Ahloy Dallaire, Jamie; Mason, Georgia J.","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Earth and Environmental Sciences; Animal behavior; Sexual behavior in animals; Domestic animals; Development; Play behavior in animals; Ethology; Social behavior in animals; American mink; Individual differences; Juvenile period; Play; Rough and tumble play; Sexual behaviour; Sexual development","The existence of play, a form of behaviour without obvious benefits to survival or reproduction, is a long-standing ethological mystery. Experiments in which socially deprived juvenile male mammals develop into sexually incompetent adults, along with widespread sexual dimorphism in rough-and-tumble play (R and T), suggest that R and T may prepare juvenile males for adult sexual behaviour. To test this hypothesis, we conducted a longitudinal study of American mink (Neovison vison) on two farms, w ith two cohorts each. For males (n = 121), we predicted that individuals with the highest frequencies of rough-and-tumble play as juveniles (10-20 weeks old) would, as adults, show shorter latencies to bite females' necks and to begin copulating, and copulate for longer durations. On one farm, we conducted a pilot study of females (n = 10) as a preliminary test of the hypothesis that R and T also prepares females for adult sexual behaviour. Here, our predictions were the opposite of those for males, since abilities to limit the number or duration of copulations could allow females to exercise pre- or post-copulatory mate choice. In total, we observed 1669 male-female encounters, and 1004 separate copulations. As predicted, frequent juvenile R and T predicted long-lasting copulations in adult males, and also longer latencies to copulate in adult females. This was true specifically of rough-and-tumble play itself, independently of general activity levels and, among a subset of 32 males reared in environmentally enriched housing, also independently of solitary object play. To our knowledge, this is the first demonstration that juvenile rough-and-tumble play predicts adult sexual behaviour in any species. Further research is required to test whether our female results can be replicated, and, importantly, to determine whether play truly has a causal role in either of these correlational relationships.","Ahloy Dallaire, Jamie and Mason, Georgia J. (2017). Juvenile rough-and-tumble play predicts adult sexual behaviour in American Mink. Animal Behaviour. 123:81-89. DOI: 10.1016/j.anbehav.2016.10.023.","","Canada, Ontario, Southern Ontario","Natural Sciences Engineering and Research Council; Ontario Graduate Scholarship; Canada Mink Breeders Association","AhloyDallaire_etal_AniBehav_Copulations_coded.csv; AhloyDallaire_etal_AniBehav_Mating_coded.csv; AhloyDallaire_etal_AniBehav_Subjects_coded.csv; AhloyDallaire_Mason_AnimalBehaviour_Copulations.csv; AhloyDallaire_Mason_AnimalBehaviour_MatingEncounters.csv; AhloyDallaire_Mason_AnimalBehaviour_Subjects.csv; AhloyDalliare_etal_AniBehav_Codebook_processed_data.pdf","hdl:10864/ZDJVD"
"4","Replication Data for: Modelling Net Energy of Commercial Cat Diets","2018-11-05","Asaro, Natalie J; Seymour, David J; Mansilla, Wilfredo D; Cant, John P; Zijlstra, Ruurd T; Berendt, Kimberley; Brewer, Jason; Shoveller, Anna K","University of Guelph; University of Guelph; University of Guelph; University of Guelph; University of Alberta; University of Alberta; The Iams Company; University of Guelph","Agricultural Sciences; Net energy; Feline; Calorimetry","Feed intake, body weight, and calorimetry raw data used to create net energy models to predict dietary net energy of commercial diets for cats.","Asaro NJ, Seymour DJ, Mansilla WD, Cant JP, Zijlstra RT, Berendt KD, et al. (2019) Modelling net energy of commercial cat diets. PLoS ONE 14(6): e0218173.","","","","Feed intake and HIF.xlsx; HighPGR (Diet C) Calorimetry Data.xlsx; LowPGR (Diet B) Calorimetry Data.xlsx; MedPGR (Diet A) Calorimetry Data.xlsx","doi:10.5683/SP2/N7BQLG"
"5","Investigating the effects of incremental conditioning and supplemental dietary tryptophan on the voluntary activity and behaviour of mid-distance training sled dogs","2020-06-24","Robinson, Eve; Templeman, James R.; Thornton, Emma; Croney, Candace C.; Niel, Lee; Shoveller, Anna Kate","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Comparative Pathobiology and Department of Animal Science. Purdue University.; Department of Population Medicine. Ontario Vetrinary College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Medicine, Health and Life Sciences; canine; behaviour; activity; nutrition; tryptophan","Activity count and behavioural observation raw data used to determine the effect of tryptophan supplementation and an incremental exercise regimen on the behaviour and activity of sled dogs.","Robinson E, Templeman JR, Thornton E, Croney CC, Niel L, Shoveller AK (2020) Investigating the effects of incremental conditioning and supplemental dietary tryptophan on the voluntary activity and behaviour of mid-distance training sled dogs. PLoS ONE 15(8): e0232643. https://doi.org/10.1371/journal.pone.0232643","2018-10-11/2018-12-31","Ontario, Canada, Ayr","","ActivityData.tab; PostrunBehaviourData.tab; PrerunBehaviourData.tab; VariableLevelMetadata_Robinson.tab","doi:10.5683/SP2/WPFSMM"
"6","Pet food consumer habit survey","2021-04-16","Banton, Sydney; Baynham, Andrew; Pezzali, Julia; von Massow, Michael; Shoveller, Anna K.","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Food, Agricultural & Resource Economics. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Food, Agricultural & Resource Economics. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Agricultural Sciences; Social Sciences; pet food; grain-free; canine; Europe; North America; consumer habits.","This survey was conducted via an online software, Qualtrics, to understand differences between countries in terms of pet food purchasing habits and decision making. This data includes respondents from Germany, the UK, the USA, Canada and France. This document contains the raw survey data from all respondents.","Banton S, Baynham A, Pezzali JG, von Massow M, Shoveller AK. Grains on the brain: A survey of dog owner purchasing habits related to grain-free dry dog foods. PLoS One. 2021 May 19;16(5):e0250806. PMID: 34010328; PMCID: PMC8133411.","2020-06-01/","Canada, Germany, United States, Europe","Rolf C. Hagen, Inc.","PetFoodConsumerHabitSurvey_SydneyBanton.tab","doi:10.5683/SP2/JZUOMW"
"7","Effect of raw and encapsulated policosanol on lipid profiles, blood biochemistry, activity, energy expenditure, and macronutrient metabolism of adult cats","2021-04-23","Shoveller, Anna-Kate","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Agricultural Sciences; Medicine, Health and Life Sciences; research data; lipid profiles; blood biochemistry; calorimetry; activity","Research data on lipid profiles, serum biochemistry, voluntary activity, energy expenditure, and macronutrient metabolism of healthy adult cats.","Templeman, J. R., Hogan, K., Blanchard, A., Marinangeli, C. P., Camara, A., Verbrugghe, A., & Shoveller, A. K. (2021). Effect of raw and encapsulated policosanol on lipid profiles, blood biochemistry, activity, energy expenditure and macronutrient metabolism of adult cats. Journal of Feline Medicine and Surgery. https://doi.org/10.1177/1098612X211013738","2018/2019","","Pancosama SA","Activity.tab; Blood_biochemistry.tab; Blood_lipidClass.tab; BW_BSC_feedIntake_orts.tab; Calorimetry.tab","doi:10.5683/SP2/FGS3VO"
"8","Ingestion of Lactobacillus rhamnosus modulates chronic stress-induced feather pecking in chickens","2022-04-25","Mindus, Claire; van Staaveren, Nienke; Bharwani, Aadil; Fuchs, Dietmar; Gostner, Johanna M.; Kjaer, Joergen B.; Kunze, Wolfgang; Mian, M. Firoz; Shoveller, Anna K.; Forsythe, Paul; Harlander-Matauschek, Alexandra","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Michael G. DeGroote School of Medicine. McMaster University.; Institute of Biological Chemistry, Biocenter, Innsbruck Medical University, Center for Chemistry and Biomedicine, Innsbruck, Austria.; Institute of Medical Biochemistry, Biocenter, Innsbruck Medical University, Center for Chemistry and Biomedicine, Innsbruck, Austria.; Friedrich-Loeffler-Institut, Federal Research Institute for Animal Health, Institute of Animal Welfare and Animal Husbandry, Celle, Germany.; Brain-Body Institute. St. Joseph’s Healthcare. McMaster University.; Division of Respirology. Department of Medicine. McMaster University.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Division of Respirology. Department of Medicine. McMaster University.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Medicine, Health and Life Sciences; behavioural problems; microbiome; microbiota; stress; probiotic; kynurenine","Feather pecking (FP) is a stress-induced neuropsychological disorder of birds. Intestinal dysbiosis and inflammation are common traits of these disorders. FP is, therefore, proposed to be a behavioral consequence of dysregulated communication between the gut and the brain. Probiotic supplementation represents a promising new therapeutic to mitigate widespread FP. We monitored FP, gut microbiota composition, immune markers and amino acids related to the production of neurochemicals with Lactobacillus rhamnosus supplement (Lacto) or a placebo in laying hens. Data demonstrate that, when stressed, the incidence of FP increased significantly, however, Lacto prevented this increase. Lacto showed strong immunological effects by increasing the regulatory T cell population of the spleen and the cecal tonsils, in addition to limiting cecal microbiota dysbiosis. Despite minimal changes of aromatic amino acid levels, data suggest that catecholaminergic circuits may be an interesting target for further studies. Overall, our findings provide the first data supporting the use of a single-strain probiotic to reduce stress-induced FP in chickens and has promise to improve the welfare of domestic birds.","Mindus, C., van Staaveren, N., Bharwani, A. et al. Ingestion of Lactobacillus rhamnosus modulates chronic stress-induced feather pecking in chickens. Sci Rep 11, 17119 (2021). https://doi.org/10.1038/s41598-021-96615-x","2017-10/2017-12","Guelph, Ontario, Canada","Natural Sciences and Engineering Research Council of Canada Discovery Grant; Ontario Ministry of Agriculture and Food and Rural Affairs; Egg Farmers of Canada","100A_Mindus_Codebook.pdf; Mindus_Behavior_Dataset.tab; Mindus_Blood_Dataset.tab; Mindus_Bw_Plum_Inj_Dataset.tab; Mindus_Cort_Dataset.tab; Mindus_Microbiome_AlphaDiversity_Dataset.tab; Mindus_Microbiome_BetaDiversity_Dataset.tab; Mindus_PhenotypeBlood_Dataset.tab; Mindus_Tcell_Spleen_Dataset.tab; Mindus_Tcell_Tonsil_Dataset.tab","doi:10.5683/SP2/58SMUR"
"9","Dataset for: The effects of partially replacing animal protein sources with full fat black soldier fly larvae meal (Hermetia illucens) in nursery diets on growth performance, gut morphology, and immune response of pigs","2021-03-18","Crosbie, Michelina; Zhu, Cuilan; Karrow, Niel A.; Huber, Lee-Anne","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Agricultural Sciences; Black soldier fly larvae meal; growth performance; immune response; nursery pig; gut morphology","One hundred and forty-four newly weaned pigs (21 days of age) were used to determine the effect of partially replacing animal protein sources with black solider fly larvae meal (BSFLM) in nursery diets on growth performance, gut morphology, and immune response. After weaning, pigs were placed in 24 pens (6 pigs per pen) and pens were randomly assigned to one of four dietary treatments (study d 0; n = 6), which were fed over 3 phases (phases I, II, and III were fed for 7, 14, and 21 days, respectively). Two nursery diets were formulated with 25% (LowFF) and 50% (HighFF) of the animal protein sources replaced by full fat BSFLM. Conventional nursery diets including animal protein sources without (CON-) and with antibiotics (220 mg Aureomycin per kg of complete feed; CON+) served as controls. On day 8, two pigs per pen were sacrificed to collect organ weights and for intestinal histomorphological measurements. On days 9 and 23, two pigs per pen were vaccinated with the novel antigen ovalbumin (OVA). Blood samples were collected on days 9, 23, and 38 to assess concentrations of plasma haptoglobin and OVA-specific immunoglobulins G (IgG) and IgG1. On day 38, the same two pigs per pen underwent a dermal hypersensitivity test and skin-fold thickness was measured at 0, 6, 24, and 48 h post-intradermal injection with OVA.","Crosbie, M., C. Zhu, N. A. Karrow, and L. Huber. 2021. The effects of partially replacing animal protein sources with full fat black soldier fly larvae meal (Hermetia illucens) in nursery diets on growth performance, gut morphology, and immune response of pigs. Transl. Anim. Sci. https://doi.org/10.1093/tas/txab057. (accepted manuscript)","2019/2021","Guelph, Ontario, Canada","Ontario Ministry of Food, Agriculture and Rural Affairs","100_LH06_VariableMetadata.pdf; LH06_Bodyweight.tab; LH06_DHROVA.tab; LH06_GrowthPerformance.tab; LH06_Haptoglobin.tab; LH06_HistoIleum.tab; LH06_HistoJejunum.tab; LH06_IgG1.tab; LH06_IgGt.tab; LH06_OrganWeights.tab","doi:10.5683/SP2/A1BXRU"
"10","Dataset for: Standardized ileal digestible amino acids and net energy contents in full fat and defatted black soldier fly larvae meals (Hermetia illucens) fed to growing pigs","2021-03-18","Crosbie, Michelina; Zhu, Cuilan; Shoveller, Anna K.; Huber, Lee-Anne","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","Agricultural Sciences; Black soldier fly larvae meal; standardized ileal digestible amino acids; apparent ileal digestible amino acids; nitrogen balance; net energy; growing pigs","Two experiments were conducted to determine standardized ileal digestibility (SID) of AA (Exp. 1) and net energy (Exp. 2) in two black soldier fly larvae meal (BSFLM) samples [full fat (FF; 42.5% CP, as-fed) and defatted (DF; 40.8% CP; as-fed)] for growing pigs. Two cornstarch-based diets were formulated with FF and DF BSFLM as the sole sources of AA. A nitrogen-free diet was also used and the corn starch:sucrose:oil ratio was kept constant among diets to calculate DE by difference method. In each Exp., pigs were fed 2.8 × estimated maintenance energy requirement. In Exp. 1, 8 ileal-cannulated barrows were used in a replicated 2 × 2 Latin square design (n = 8). In each period, pigs were adapted to diets for 5 days followed by 2 days of continuous ileal digesta collection for 8 hours. The SID of AA were calculated using basal endogenous losses for pigs fed a nitrogen-free diet. In Exp. 2, 8 barrows were used in a partially replicated Latin square design (n = 8). In each period, pigs were adapted to diets for 7 days, followed by 5 days of total urine collection and fecal grab sampling.","Crosbie, M., C. Zhu, A. K. Shoveller, and L. Huber. 2020. Standardized ileal digestible amino acids and net energy contents in full fat and defatted black soldier fly larvae meals (Hermetia illucens) fed to growing pigs. Translational Animal Science. 4:1-10. https://doi.org/10.1093/tas/txaa104","2018/2020","Guelph, Ontario, Canada","Ontario Ministry of Food, Agriculture and Rural Affairs","100_LH02_VariableMetadata.pdf; LH02_AID_2020.tab; LH02_BSFLMEnergy_2020.tab; LH02_DietEnergy_2020.tab; LH02_Digestibility_2020.tab; LH02_NitrogenBalance_2020.tab; LH02_SID_2020.tab","doi:10.5683/SP2/3YJ5J8"
