Cow	sq	per	trt	milk	fat	prot	lac	dmi	bw
2644	1	1	4	38.84	1380.69	1386.09	1916.31	23.77	643.5
2644	1	2	1	39.74	1545.65	1337.85	1895.99	21.70	683
2644	1	3	3	39.66	1210.75	1340.87	1864.54	24.45	666
2644	1	4	2	33.67	1193.29	1198.66	1608.50	22.23	700.5
2644	1	5	4	29.83	1103.55	1079.91	1404.41	18.87	704.5
2669	1	1	1	41.56	791.25	1313.50	2013.67	22.70	626.5
2669	1	2	2	38.56	977.98	1152.99	1835.12	19.34	649
2669	1	3	4	37.11	1024.68	1100.88	1717.38	21.31	636
2669	1	4	3	33.87	669.35	1083.81	1621.98	17.71	637.5
2669	1	5	1	28.99	610.29	994.29	1372.77	16.25	661.5
2654	1	1	2	36.69	1061.94	1204.84	1686.69	22.54	621
2654	1	2	3	34.41	817.74	1063.52	1597.09	17.52	643.5
2654	1	3	1	33.71	755.44	1087.37	1544.60	20.93	618.5
2654	1	4	4	29.83	870.61	945.93	1401.71	18.17	651.5
2654	1	5	2	26.99	889.83	916.96	1248.54	17.36	653.5
2503	1	1	3	28.87	689.34	969.35	1334.18	19.06	769
2503	1	2	4	25.83	908.67	881.77	1171.66	16.77	774
2503	1	3	2	24.70	565.44	813.41	1127.71	17.32	770.5
2503	1	4	1	23.69	583.08	794.45	1117.28	14.85	805.5
2503	1	5	3	22.20	605.85	784.56	1073.21	14.76	813.5
2773	2	1	4	30.83	726.40	1030.57	1464.68	14.68	558.5
2773	2	2	1	29.61	624.85	918.86	1353.71	15.15	585
2773	2	3	6	28.74	691.91	906.44	1339.76	16.06	584
2773	2	4	5	30.11	671.73	939.49	1414.96	16.25	613
2773	2	5	7	27.90	528.19	944.60	1277.94	14.71	634
2768	2	1	5	26.87	596.79	963.12	1327.50	16.33	635.5
2768	2	2	7	20.16	423.17	747.85	968.86	14.56	662
2768	2	3	1	24.99	597.71	872.47	1223.08	16.44	678
2768	2	4	6	21.96	533.84	839.32	1087.58	14.52	706
2768	2	5	4	22.77	831.12	843.48	1095.57	13.88	715
2754	2	1	1	28.17	800.93	1041.94	1404.49	17.06	633.5
2754	2	2	6	26.19	840.23	904.51	1302.04	14.29	642.5
2754	2	3	7	25.27	598.15	892.69	1237.40	16.62	644.5
2754	2	4	4	25.91	861.05	922.42	1316.33	14.45	678
2754	2	5	5	25.91	902.47	929.33	1306.50	14.81	685.5
2776	2	1	6	34.53	577.36	1099.58	1754.40	16.81	515.5
2776	2	2	4	27.69	1096.31	958.74	1391.51	16.75	528.5
2776	2	3	5	28.53	981.94	956.14	1430.13	19.14	513
2776	2	4	7	25.51	560.65	881.38	1291.83	17.21	524
2776	2	5	1	24.96	681.90	837.15	1257.88	15.22	525.5
2777	2	1	7	30.54	676.89	952.68	1493.68	13.74	518
2777	2	2	5	27.63	787.11	899.84	1316.06	12.76	556
2777	2	3	4	25.74	862.85	779.53	1026.58	16.29	557.5
2777	2	4	1	26.49	747.79	855.57	1264.79	14.73	597
2777	2	5	6	26.39	715.63	864.19	1249.86	14.65	618.5
2664	3	1	4	26.76	1024.26	895.92	1252.94	18.95	676.5
2664	3	2	1	25.97	704.18	782.63	1186.18	15.99	700.5
2664	3	3	6	23.69	575.53	725.84	1042.55	17.62	704.5
2664	3	4	5	18.83	646.11	651.45	907.59	15.08	756
2664	3	5	7	2.53	68.72	120.46	73.43	13.71	782
2645	3	1	5	32.66	1022.20	1161.18	1584.30	18.55	558
2645	3	2	7	24.03	521.39	827.96	1105.66	13.10	582
2645	3	3	1	30.41	659.22	1012.23	1441.97	16.28	562
2645	3	4	6	27.19	554.67	940.46	1286.17	14.19	600
2645	3	5	4	25.61	928.36	948.44	1199.06	15.36	598.8
2650	3	1	1	34.53	889.53	1076.26	1485.53	21.60	633
2650	3	2	6	29.26	654.38	921.84	1233.05	19.13	651.5
2650	3	3	7	26.34	519.83	853.94	1018.48	20.60	654
2650	3	4	4	22.26	691.12	727.27	856.85	18.13	689.5
2650	3	5	5	19.87	397.96	681.29	788.22	15.44	700.5
2545	3	1	6	34.83	1014.53	1086.33	1613.52	19.99	669
2545	3	2	4	27.10	1010.87	870.33	1248.76	18.29	698.5
2545	3	3	5	28.49	759.51	897.05	1272.10	19.43	697
2545	3	4	7	23.64	417.28	807.00	1003.67	16.66	718.5
2545	3	5	1	20.40	461.27	630.63	863.86	14.87	732
2435	3	1	7	25.84	642.82	930.17	1229.52	17.62	693.5
2435	3	2	5	31.83	935.54	1058.72	1492.27	18.17	714
2435	3	3	4	19.00	726.77	630.80	868.24	11.80	709
2435	3	4	1	27.24	719.57	920.45	1315.69	16.28	725
2435	3	5	6	22.69	604.41	866.97	1081.78	16.65	763.5
