"","type","id","title","identifier","persistentUrl","protocol","authority","publisher","publicationDate","storageIdentifier","datasetType","dataverse_title","persistent_id"
"1","dataset",103712,NA,"SP2/7FOY7Q","https://doi.org/10.5683/SP2/7FOY7Q","doi","10.5683","Borealis","2021-02-19","s3://10.5683/SP2/7FOY7Q","dataset","Agri-environmental Research Data","doi:10.5683/SP2/7FOY7Q"
"2","dataset",200306,NA,"SP3/14DHAT","https://doi.org/10.5683/SP3/14DHAT","doi","10.5683","Borealis","2022-03-11","s3://10.5683/SP3/14DHAT","dataset","Agri-environmental Research Data","doi:10.5683/SP3/14DHAT"
"3","dataset",494,NA,"SP3/R5UDLN","https://doi.org/10.5683/SP3/R5UDLN","doi","10.5683","Borealis","2016-08-24","s3://10864/12041","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/R5UDLN"
"4","dataset",501,NA,"SP3/EBN26Q","https://doi.org/10.5683/SP3/EBN26Q","doi","10.5683","Borealis","2015-11-02","s3://10864/10939","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/EBN26Q"
"5","dataset",509,NA,"SP3/EO6D06","https://doi.org/10.5683/SP3/EO6D06","doi","10.5683","Borealis","2016-08-18","s3://10864/ZDJVD","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/EO6D06"
"6","dataset",72343,NA,"SP2/N7BQLG","https://doi.org/10.5683/SP2/N7BQLG","doi","10.5683","Borealis","2018-11-05","s3://10.5683/SP2/N7BQLG","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP2/N7BQLG"
"7","dataset",94943,NA,"SP2/2ONGXF","https://doi.org/10.5683/SP2/2ONGXF","doi","10.5683","Borealis","2020-02-06","s3://10.5683/SP2/2ONGXF","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP2/2ONGXF"
"8","dataset",103992,NA,"SP2/WPFSMM","https://doi.org/10.5683/SP2/WPFSMM","doi","10.5683","Borealis","2020-06-24","s3://10.5683/SP2/WPFSMM","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP2/WPFSMM"
"9","dataset",137631,NA,"SP2/JZUOMW","https://doi.org/10.5683/SP2/JZUOMW","doi","10.5683","Borealis","2021-04-16","s3://10.5683/SP2/JZUOMW","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP2/JZUOMW"
"10","dataset",138001,NA,"SP2/FGS3VO","https://doi.org/10.5683/SP2/FGS3VO","doi","10.5683","Borealis","2021-04-23","s3://10.5683/SP2/FGS3VO","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP2/FGS3VO"
"11","dataset",143283,NA,"SP2/58SMUR","https://doi.org/10.5683/SP2/58SMUR","doi","10.5683","Borealis","2022-04-25","s3://10.5683/SP2/58SMUR","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP2/58SMUR"
"12","dataset",147967,NA,"SP2/A1BXRU","https://doi.org/10.5683/SP2/A1BXRU","doi","10.5683","Borealis","2021-03-18","s3://10.5683/SP2/A1BXRU","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP2/A1BXRU"
"13","dataset",147968,NA,"SP2/3YJ5J8","https://doi.org/10.5683/SP2/3YJ5J8","doi","10.5683","Borealis","2021-03-18","s3://10.5683/SP2/3YJ5J8","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP2/3YJ5J8"
"14","dataset",199555,NA,"SP3/RWCQXV","https://doi.org/10.5683/SP3/RWCQXV","doi","10.5683","Borealis","2021-10-18","s3://10.5683/SP3/RWCQXV","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/RWCQXV"
"15","dataset",199687,NA,"SP3/RV5PGZ","https://doi.org/10.5683/SP3/RV5PGZ","doi","10.5683","Borealis","2022-01-17","s3://10.5683/SP3/RV5PGZ","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/RV5PGZ"
"16","dataset",254673,NA,"SP3/JQ5JHU","https://doi.org/10.5683/SP3/JQ5JHU","doi","10.5683","Borealis","2022-01-26","s3://10.5683/SP3/JQ5JHU","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/JQ5JHU"
"17","dataset",256485,NA,"SP3/T36W8L","https://doi.org/10.5683/SP3/T36W8L","doi","10.5683","Borealis","2022-01-26","s3://10.5683/SP3/T36W8L","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/T36W8L"
"18","dataset",274891,NA,"SP3/THJPPG","https://doi.org/10.5683/SP3/THJPPG","doi","10.5683","Borealis","2022-04-21","s3://10.5683/SP3/THJPPG","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/THJPPG"
"19","dataset",314219,NA,"SP3/PZJB4L","https://doi.org/10.5683/SP3/PZJB4L","doi","10.5683","Borealis","2022-03-18","s3://10.5683/SP3/PZJB4L","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/PZJB4L"
"20","dataset",429781,NA,"SP3/SYXAN1","https://doi.org/10.5683/SP3/SYXAN1","doi","10.5683","Borealis","2023-01-16","s3://10.5683/SP3/SYXAN1","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/SYXAN1"
"21","dataset",434577,NA,"SP3/4QVI0O","https://doi.org/10.5683/SP3/4QVI0O","doi","10.5683","Borealis","2023-09-12","s3://10.5683/SP3/4QVI0O","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/4QVI0O"
"22","dataset",434654,NA,"SP3/ES2TLC","https://doi.org/10.5683/SP3/ES2TLC","doi","10.5683","Borealis","2023-01-26","s3://10.5683/SP3/ES2TLC","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/ES2TLC"
"23","dataset",465618,NA,"SP3/XED4N5","https://doi.org/10.5683/SP3/XED4N5","doi","10.5683","Borealis","2023-04-27","s3://10.5683/SP3/XED4N5","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/XED4N5"
"24","dataset",665286,NA,"SP3/VMAZID","https://doi.org/10.5683/SP3/VMAZID","doi","10.5683","Borealis","2023-11-14","s3://10.5683/SP3/VMAZID","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/VMAZID"
"25","dataset",706562,NA,"SP3/YWKCKV","https://doi.org/10.5683/SP3/YWKCKV","doi","10.5683","Borealis","2024-02-05","s3://10.5683/SP3/YWKCKV","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/YWKCKV"
"26","dataset",714090,NA,"SP3/E8MY75","https://doi.org/10.5683/SP3/E8MY75","doi","10.5683","Borealis","2024-02-26","s3://10.5683/SP3/E8MY75","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/E8MY75"
"27","dataset",715159,NA,"SP3/SY6V2Y","https://doi.org/10.5683/SP3/SY6V2Y","doi","10.5683","Borealis","2024-03-04","s3://10.5683/SP3/SY6V2Y","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/SY6V2Y"
"28","dataset",719110,NA,"SP3/IJU5X8","https://doi.org/10.5683/SP3/IJU5X8","doi","10.5683","Borealis","2024-04-08","s3://10.5683/SP3/IJU5X8","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/IJU5X8"
"29","dataset",719124,NA,"SP3/XKU433","https://doi.org/10.5683/SP3/XKU433","doi","10.5683","Borealis","2024-04-09","s3://10.5683/SP3/XKU433","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/XKU433"
"30","dataset",719281,NA,"SP3/1V87U5","https://doi.org/10.5683/SP3/1V87U5","doi","10.5683","Borealis","2024-04-10","s3://10.5683/SP3/1V87U5","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/1V87U5"
"31","dataset",719511,NA,"SP3/RG4QMY","https://doi.org/10.5683/SP3/RG4QMY","doi","10.5683","Borealis","2024-04-11","s3://10.5683/SP3/RG4QMY","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/RG4QMY"
"32","dataset",722358,NA,"SP3/OCOJXF","https://doi.org/10.5683/SP3/OCOJXF","doi","10.5683","Borealis","2024-06-13","s3://10.5683/SP3/OCOJXF","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/OCOJXF"
"33","dataset",725444,NA,"SP3/ETKIWR","https://doi.org/10.5683/SP3/ETKIWR","doi","10.5683","Borealis","2024-05-07","s3://10.5683/SP3/ETKIWR","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/ETKIWR"
"34","dataset",725456,NA,"SP3/CKBXSR","https://doi.org/10.5683/SP3/CKBXSR","doi","10.5683","Borealis","2024-05-07","s3://10.5683/SP3/CKBXSR","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/CKBXSR"
"35","dataset",746474,NA,"SP3/CEHUCP","https://doi.org/10.5683/SP3/CEHUCP","doi","10.5683","Borealis","2024-05-30","s3://10.5683/SP3/CEHUCP","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/CEHUCP"
"36","dataset",788687,NA,"SP3/PLVUCN","https://doi.org/10.5683/SP3/PLVUCN","doi","10.5683","Borealis","2024-08-20","s3://10.5683/SP3/PLVUCN","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/PLVUCN"
"37","dataset",826369,NA,"SP3/WVOC0N","https://doi.org/10.5683/SP3/WVOC0N","doi","10.5683","Borealis","2024-09-05","s3://10.5683/SP3/WVOC0N","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/WVOC0N"
"38","dataset",843273,NA,"SP3/HM2RUB","https://doi.org/10.5683/SP3/HM2RUB","doi","10.5683","Borealis","2024-10-28","s3://10.5683/SP3/HM2RUB","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/HM2RUB"
"39","dataset",873451,NA,"SP3/ZOBJ1B","https://doi.org/10.5683/SP3/ZOBJ1B","doi","10.5683","Borealis","2025-02-05","s3://10.5683/SP3/ZOBJ1B","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/ZOBJ1B"
"40","dataset",873531,NA,"SP3/KLUTCS","https://doi.org/10.5683/SP3/KLUTCS","doi","10.5683","Borealis","2025-02-04","s3://10.5683/SP3/KLUTCS","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Animal Biosciences","doi:10.5683/SP3/KLUTCS"
"41","dataset",352208,NA,"SP3/4RA3KT","https://doi.org/10.5683/SP3/4RA3KT","doi","10.5683","Borealis","2022-06-24","s3://10.5683/SP3/4RA3KT","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Food Science","doi:10.5683/SP3/4RA3KT"
"42","dataset",855015,NA,"SP3/P35DWL","https://doi.org/10.5683/SP3/P35DWL","doi","10.5683","Borealis","2025-01-22","s3://10.5683/SP3/P35DWL","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Food Science","doi:10.5683/SP3/P35DWL"
"43","dataset",74837,NA,"SP2/43M6GX","https://doi.org/10.5683/SP2/43M6GX","doi","10.5683","Borealis","2019-10-25","s3://10.5683/SP2/43M6GX","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Food Science - LaPointe Team","doi:10.5683/SP2/43M6GX"
"44","dataset",199647,NA,"SP3/XORCWW","https://doi.org/10.5683/SP3/XORCWW","doi","10.5683","Borealis","2021-09-07","s3://10.5683/SP3/XORCWW","dataset","Agri-environmental Research Data - Ontario Agricultural College - Department of Food Science - LaPointe Team","doi:10.5683/SP3/XORCWW"
