"","Title","Keywords","Authors","DOI"
"1","Replication Data for: Effect of fish oil and monensin on milk composition in dairy cows","Milk composition, Fish oil, Monensin, Omega-3 fatty acids","Cant, John, Fredeen, Alan, Macintyre, T., Gunn, Jeff, Crowe, N.","doi:10.5683/SP3/WVC09T"
"2","Replication Data for: Cadmium accumulation in soybean (Glycine max L.) seed as a function of soil chemistry, inferred water use, and heritable variability","Bioavailability, Food safety, Risk assessment, Regression model, Trace element, Weather","Kikkert, Julie, Hale, Beverley, Dooh, Lindsay, Berkelaar, Edward","doi:10.5683/SP3/SGDJJ9"
"6","Replication Data for: Milk production responses of primiparous and multiparous dairy cows to dose of conjugated linoleic acid consumed in rumen inert form","Milk composition, Cattle, Diet","Sippel, Melanie, Cant, John, Spratt, Richard","doi:10.5683/SP3/FIEM5G"
"7","Replication Data for: Sensory characterization during repeated ingestion of small-molecular-weight phenolic acids","Astringency, Bitterness, Sourness, Time-intensity, Phenolic acids","Duizer, Lisa, Langfried, Allison","doi:10.5683/SP3/ITBDHO"
"8","Replication Data for: Effect of drinker type and sound stimuli on early-weaned pig performance and behavior","Behavior, Drinker, Early-Weaning, Pigs, Sow nursing vocalizations","Torrey, Stephanie, Widowski, Tina","doi:10.5683/SP3/FUJBQX"
"9","Replication Data for: Effects of pig genotype, immunological castration, and use of ractopamine on growth performance, carcass traits, and pork quality for entire male pigs","Boars, Immunocastration, Ractopamine, Meat quality, Bacon, Genotype, Androstenone","Park, Jeff, Campbell, Cheryl, Squires, James, de Lange, Cornelis, Mandell, Ira","doi:10.5683/SP3/X0O2IO"
"10","Replication Data for: Weed control in processing tomato (Lycopersicon esculentum) with Rimsulfuron and Thifensulfuron applies alone or with Chlorothalonil or copper pesticides","Crop tolerance, Lycopersicon esculentum, Metribuzin, Postemergence herbicides, Rimsulfuron, Thifensulfuron-methyl, Tomato injury, Yield","Robinson, Darren, Soltani, Nader, Sikkema, Peter, Hamill, Allen","doi:10.5683/SP3/VA5HL9"
"11","Replication Data for: Effect of Foramsulfuron and Isoxaflutole Residues on Rotational Vegetable Crops","Carryover, Foramsulfuron, Isoxaflutole, Preemergence, Postemergence","Soltani, Nader, Sikkema, Peter, Robinson, Darren","doi:10.5683/SP3/VUUU8X"
"12","Replication Data for: Tolerance of black beans (Phaseolus vulgaris) to soil applications of S-Metolachlor and Imazethapyr","Crop injury, Crop tolerance, Maturity, Plant dry weight, Plant height, Yield","Soltani, Nader, Shropshire, Christy, Cowan, Todd, Sikkema, Peter","doi:10.5683/SP3/QSOQBT"
"14","Replication Data for: Tolerance of cranberry beans (Phaseolus vulgaris) to post emergence herbicides","Bentazon, Fomesafen, Imazamox, Field trials, Dry beans, Phaseolus vulgaris L","Soltani, Nader, Shropshire, Christy, Sikkema, Peter, Bowley, Stephen","doi:10.5683/SP3/SFOIPJ"
